NOMBREDI,Robo_vivienda,Robo_calle,Robo_vehiculo,Confianza_PNP
ANCON,250,300,20,68
ATE,307,452,44,102
BARRANCO,146,246,57,102
BREÑA,133,302,21,125
CARABAYLLO,287,384,34,76
CHACLACAYO,173,267,40,89
CHORRILLOS,221,314,61,86
COMAS,336,463,45,135
EL AGUSTINO,249,362,46,103
INDEPENDENCIA,210,344,28,100
JESUS MARIA,135,267,49,138
LA MOLINA,190,308,129,131
LA VICTORIA,254,414,44,101
LIMA,257,400,54,118
LINCE,172,277,63,90
LOS OLIVOS,267,414,55,119
LURIGANCHO,262,377,44,97
LURIN,229,298,47,71
MAGDALENA DEL MAR,146,259,84,131
MIRAFLORES,124,301,109,168
PACHACAMAC,170,269,27,51
PUCUSANA,3,3,,4
PUEBLO LIBRE,134,261,49,118
PUENTE PIEDRA,285,360,25,96
PUNTA HERMOSA,7,8,5,2
RIMAC,235,326,27,106
SAN BORJA,134,300,126,143
SAN ISIDRO,107,215,99,130
SAN JUAN DE LURIGANCHO,455,684,81,159
SAN JUAN DE MIRAFLORES,274,351,64,77
SAN LUIS,177,289,38,77
SAN MARTIN DE PORRES,333,440,67,100
SAN MIGUEL,180,319,57,171
SANTA ANITA,281,381,39,89
SANTA ROSA,7,8,,
SANTIAGO DE SURCO,266,430,139,186
SURQUILLO,169,313,73,150
VILLA EL SALVADOR,343,437,57,72
VILLA MARIA DEL TRIUNFO,348,443,54,96
